Query,KCC Ans
What are some common fish varieties for farming?,"Popular fish varieties for farming include Rohu, Catla, Nain, Common Carp, and Silver Carp. These are hardy and suitable for pond aquaculture."
What are the different types of ginger?,"Common ginger varieties include Suprabha, Suruchi, and Surabhi. These are high-yielding and resistant to common diseases."
How can I get a credit card?,"For information on credit cards, please contact your nearest bank manager. They can guide you through the application process and eligibility criteria."
How do I treat onion smut disease?,"To prevent onion smut, treat onion seeds with captan or thiram at 2.5 grams per kg of seeds before sowing. This protects against fungal infections."
What's the name of the banspati insecticide?,"Neem-based insecticides include Nimbicidin, Nimarin, Achook, Azadirachtin, Neem Azal, Bionim, and Iconim. These are effective and eco-friendly options."
Why is my ginger rotting?,Ginger rot is often caused by fungal infections. Apply carbendazim at 2 grams per liter of water as a soil drench. Ensure proper drainage to prevent recurrence.
How much fertilizer does ginger need?,"For ginger, apply 200-250 quintals of cow dung manure per hectare, along with 80 kg nitrogen, 30-35 kg phosphorus, and 40 kg potassium. Incorporate green manure for better soil health."
Why are my mango fruits turning black?,Blackness in mango fruits may be due to anthracnose. Spray carbendazim at 2 grams per liter of water every 10-14 days. Remove and destroy affected fruits.
Where can I learn about beekeeping?,"For beekeeping information, contact your nearest Krishi Vigyan Kendra (KVK) or the Dhokvik Center. They offer training and resources."
How do I treat skin diseases in my buffalo?,Wash the affected area with a potassium permanganate (KMnO4) solution and apply an antiseptic cream like Himax. Consult a veterinarian for a proper diagnosis.
How many radish seeds do I need to plant?,"For radish, use 5-6 kg of seeds per hectare. Sow in well-prepared soil for uniform germination."
What should I do about pests on my brinjal plants?,"To control pests in brinjal, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, focusing on the undersides of leaves."
How do I manage insects in my tomato crop?,"For tomato insects, spray indoxacarb at 0.5 ml per liter of water. Apply in the early morning and repeat every 10-14 days as needed."
Why are my litchi fruits turning black?,Blackening of litchi fruits may be due to fungal issues. Spray carbendazim at 2 grams per liter of water every 10 days. Ensure proper air circulation around the tree.
How much fertilizer should I use for turmeric?,"For turmeric, apply 6 tons of cow dung manure, 40 kg ammonium sulfate, and 40 kg potash per hectare. After 40 days, top-dress with 12 kg nitrogen."
How do I treat black spots on my tomatoes?,"To treat black spots on tomatoes, spray mancozeb at 2 grams per liter of water every 7-10 days. Remove affected fruits to prevent spreading."
Why are my lemon fruits falling prematurely?,Premature fruit drop in lemons can be managed by spraying Planofix at 0.5 ml per liter of water. Apply during flowering and early fruiting stages.
What are the different varieties of gourd?,"Popular gourd varieties include Kalyanpur Hari Lambi, Pusa Meghdut, and Arka Bahadur. These are high-yielding and suitable for various climates."
How do I control insects eating my potato leaves?,"To control insects on potato leaves, spray chlorpyrifos at 2 ml per liter of water. Apply every 10-14 days and monitor for pest activity."
Why are all my lemon fruits dropping?,Lemon fruit drop can be prevented by spraying Planofix at 5 ml per liter of water during flowering. Ensure proper irrigation and nutrient management.
What should I do about worms in my gourd plants?,"For worms in gourds, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, targeting the affected areas."
How do I manage pests in my apple tree?,"To control pests in apple trees, spray neem-based azadirachtin at 5 ml per liter of water. Apply every 10-14 days and remove infested plant parts."
How do I handle pest problems in my potato crop?,"For potato pests, apply chlorpyrifos at 2 ml per liter of water with irrigation. Use 20 kg per hectare for effective control."
How can I control pests in stored wheat?,"To prevent pests in stored wheat, use aluminum phosphide tablets (1 tablet per 100 kg of grain) in a sealed container. Ensure proper ventilation and safety precautions."
How do I prevent potato blight?,"To prevent potato blight, spray mancozeb at 2 grams per liter of water every 7-10 days. Start application before symptoms appear."
Why are my mango fruits falling prematurely?,Mango fruit drop can be managed by irrigating properly and spraying Planofix at 5 ml per liter of water during flowering and fruit set.
Why are my pomegranate fruits falling?,"To prevent pomegranate fruit drop, spray Planofix at 0.5 ml per liter of water during flowering. Ensure adequate water and nutrients."
How do I control weeds in my potato field?,Control weeds in potatoes through manual weeding or apply pendimethalin at 1.5 liters per hectare as a pre-emergence herbicide within 2-3 days of planting.
Which fragrant paddy varieties should I grow?,"Fragrant paddy varieties include Type-3, Tarawadi, Basmati-1, and Pusa Basmati-1. These are known for their aroma and high market value."
Which plant should I sow for a plantation ready in 5 years?,"For a plantation ready in 5 years, consider Chinar's G-48. It grows quickly and is suitable for timber or shade."
How do I manage insect infestation in my cucumber crop?,"To control insects in cucumbers, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, focusing on the undersides of leaves."
Why are my mushroom caps drying out?,"To prevent mushroom caps from drying, spray prochloraz manganese at 300 grams per 100 liters of water after casing. Maintain 85-90% humidity in the growing room."
Why are all my onion bulbs rotting?,"To prevent onion bulb rot, spray mancozeb at 2 grams per liter of water every 10 days. Ensure well-drained soil to avoid waterlogging."
Which soybean varieties should I grow?,"Recommended soybean varieties include VL Soya-2, VL Soya-21, Shilajit, and PS-1. These are high-yielding and suitable for various regions."
How do I control weeds in my mandua crop?,"To control weeds in mandua, spray 2,4-D sodium salt at 1 kg per 20 gallons of water within 3 weeks of sowing. Follow up with manual weeding if needed."
How do I manage anthracnose disease in my chilli crop?,"To control anthracnose in chillies, spray copper oxychloride at 3 grams per liter of water 2-3 times at 12-15 day intervals. Remove affected fruits."
How do I treat itching on my buffalo's skin?,"For buffalo skin itching, wash the affected area with a mild antiseptic like Dettol solution and apply a veterinary antiseptic cream. Consult a veterinarian for further advice."
How do I treat Tulsita disease in my maize crop?,"To manage Tulsita disease in maize, spray zinc manganese carbamate at 20 kg in 600-800 liters of water. Apply 40 grams per drain using a sprayer."
Which French bean varieties should I grow?,"Recommended French bean varieties include Pant Anupama, Pant Bean-3, VL Dwarf-1, Pusa Parvati, and Contender. These are high-yielding and disease-resistant."
How do I control insect infestation in my potato crop?,"To control insects in potatoes, apply chlorpyrifos at 2 ml per liter of water with irrigation. Use 20 kg per hectare for effective pest management."
How do I manage pest outbreaks in my Malta crop?,"For pest control in Malta, spray neem oil at 5 ml per liter of water. Apply every 10-14 days, targeting the affected areas."
How do I cook raw bananas?,"Raw bananas can be ripened using ethylene gas in a controlled environment. For cooking, boil or steam them until soft, then use in recipes like curries or fries."
Which herbicide should I use for maize?,Apply atrazine at 2 ml per liter of water as a pre-emergence spray within 2-3 days of sowing maize to control weeds effectively.
Why are my chilli leaves turning yellow?,Yellowing chilli leaves may indicate a fungal issue. Spray mancozeb at 2 grams per liter of water every 7-10 days. Ensure proper soil drainage.
How do I control insects making holes in my tomatoes?,"To control insects boring into tomatoes, spray indoxacarb at 0.5 ml per liter of water. Apply every 10-14 days and remove affected fruits."
Why are my onion bulbs not growing?,"For better onion bulb growth, spray mancozeb at 2 grams per liter of water to prevent fungal issues. Ensure balanced fertilization with 100 kg N, 60 kg P, and 60 kg K per hectare."
Why are my ornamental chilli plants turning yellow?,Yellowing in ornamental chillies can be treated by spraying mancozeb at 2 grams per liter of water. Avoid overwatering and ensure good air circulation.
Which early-maturing rice varieties should I grow?,"Early-maturing rice varieties include Govind, Narendra-118, Saket-4, and Pant Hybrid Paddy-1. These are suitable for shorter growing seasons."
Why are there black spots on my lemon fruits?,Black spots on lemon fruits are likely caused by fungal infections. Spray carbendazim at 2 grams per liter of water every 10-14 days to control the issue.
How do I manage pests in my kiwi crop?,"For pest control in kiwi, spray neem oil at 5 ml per liter of water. Apply every 10-14 days, focusing on the undersides of leaves."
How do I control insects in my watermelon crop?,"To manage insects in watermelon, spray profenofos at 2 ml per liter of water. Apply every 7-10 days and monitor pest activity."
Why are my almond leaves curling?,Curling almond leaves may be due to bacterial infections. Spray streptomycin at 0.5 grams per liter of water every 10 days. Ensure proper tree spacing for ventilation.
Why are my tomato flowers falling off?,Tomato flower drop can be prevented by spraying Planofix at 5 ml per liter of water during flowering. Maintain consistent watering and avoid temperature stress.
Where do baby fish come from?,"For information on sourcing baby fish (fingerlings), contact the Fisheries Department at GB Pant University, Pantnagar. They can guide you on suppliers and hatcheries."
Which sapota varieties should I grow?,"Recommended sapota varieties include NM-2, NM-4, NM-7, and NM-8. These are high-yielding and suitable for various climates."
Why are my chilli plants wilting?,Wilting chilli plants may be due to fungal issues. Spray copper oxychloride at 2 grams per liter of water every 10 days. Ensure proper drainage to prevent root rot.
How do I control worms in my litchi crop?,"To control worms in litchi, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, targeting the affected areas."
How should I store wheat to prevent pests?,"To store wheat safely, seal it in airtight containers and place aluminum phosphide tablets (1 tablet per 100 kg) in a cotton cloth. Ensure proper ventilation and safety."
How do I manage insects in the stems of my plants?,"For stem-boring insects, spray indoxacarb at 0.5 ml per liter of water. Apply every 10-14 days and remove affected plant parts."
How do I control insect problems in my pomegranate crop?,"To manage insects in pomegranate, spray quinalphos at 2 ml per liter of water. Apply every 10-14 days and monitor for pest activity."
Why is my banana plant not blooming?,"To encourage blooming in bananas, apply rock phosphate at 50 grams per plant per year. Ensure proper irrigation and nutrient management."
Why are my sugarcane seed leaves turning yellow?,Yellowing sugarcane leaves may indicate a nutrient deficiency. Spray cartap hydrochloride at 2 grams per liter of water and ensure balanced fertilization.
How do I control worms in my pumpkin crop?,"For worms in pumpkins, spray quinalphos at 2 ml per liter of water. Apply every 7-10 days, targeting the affected areas."
How do I manage insect infestation in my pomegranate crop?,"To control insects in pomegranate, spray neem oil at 5 ml per liter of water. Apply every 10-14 days, focusing on the undersides of leaves."
Why are my cabbage leaves turning yellow?,Yellowing cabbage leaves may be due to fungal issues. Spray rogor (dimethoate) at 2 grams per liter of water every 7-10 days. Ensure proper soil drainage.
How do I control moths in my lemon crop?,"To manage moths in lemons, spray carbaryl at 2 grams per liter of water. Apply every 10-14 days and remove affected fruits."
Why is my jackfruit rotting?,Jackfruit rot can be controlled by spraying copper oxychloride at 3 grams per liter of water. Remove and destroy affected fruits to prevent spreading.
Why are there brown spots on my tomato leaves?,Brown spots on tomato leaves are likely caused by fungal diseases. Spray Dithane M-45 at 2 grams per liter of water every 7-10 days.
Why is my gourd plant wilting?,Wilting in gourd plants may be due to fungal issues. Spray copper oxychloride at 2 grams per liter of water every 10 days. Ensure proper drainage.
How do I manage weeds in my banana crop?,"To control weeds in bananas, apply glyphosate at 0.4 liters per hectare as a directed spray. Avoid contact with the banana plants."
Why are my chilli plants drying up?,Drying chilli plants may be due to fungal infections. Spray mancozeb at 2 grams per liter of water every 7-10 days. Ensure adequate watering.
How do I control insect problems in my spinach crop?,"To manage insects in spinach, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, focusing on the undersides of leaves."
How do I treat canker disease in my lemon crop?,"For lemon canker, spray zinc sulphate at 0.5 grams per liter of water every 10 days. Remove and destroy affected plant parts."
Why are my orange branches drying up?,Drying orange branches may be due to fungal or pest issues. Prune affected branches and spray copper oxychloride at 2 grams per liter of water.
How do I control worms in my cauliflower crop?,"To control worms in cauliflower, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, targeting the affected areas."
How do I manage worms in my cabbage polyhouse?,"For worms in cabbage in a polyhouse, spray neem oil at 5 ml per liter of water. Apply every 7-10 days and maintain good ventilation."
Why are my orange fruits falling?,Orange fruit drop can be prevented by spraying copper oxychloride at 3 grams per liter of water. Ensure proper irrigation and nutrient management.
How do I control persistent insects in my tomato crop?,"For persistent tomato insects, spray indoxacarb at 0.5 ml per liter of water. Apply every 10-14 days and remove affected fruits."
Why is my buffalo having trouble walking?,"For buffalo walking issues, provide a calcium supplement like Osto-CA at 200 ml in 2 liters of water daily for 15 days. Consult a veterinarian for a proper diagnosis."
How do I control pests in my jackfruit crop?,"To control pests in jackfruit, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, targeting the affected areas."
Why is my banana plant drying up?,Drying banana plants may be due to fungal issues. Spray copper oxychloride at 3 grams per liter of water every 10 days. Ensure proper irrigation.
Why are my marigold flowers getting black spots?,Black spots on marigold flowers can be treated by spraying carbendazim at 2 grams per liter of water every 10-14 days. Remove affected flowers.
How do I control worms in my French beans?,"To control worms in French beans, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, targeting the affected areas."
How do I manage insect infestation in my guava crop?,"For guava insects, spray neem oil at 5 ml per liter of water. Apply every 10-14 days, focusing on the undersides of leaves."
Where can I get a loan for buffalo farming?,"For a loan for buffalo farming, contact your nearest bank or cooperative society. They can guide you through the loan application process."
Why is my sheep having breathing problems?,"For sheep breathing issues, consult a veterinary surgeon immediately. Ensure proper ventilation and avoid overcrowding in the shed."
Why is my wheat crop turning yellow?,Yellowing wheat may indicate a nitrogen deficiency. Apply urea at 20 kg per hectare as a top dressing and irrigate immediately.
How do I control insect infestation in my ginger crop?,"To control insects in ginger, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, targeting the affected areas."
How do I manage pests in my grape crop?,"For grape pests, spray neem oil at 5 ml per liter of water. Apply every 10-14 days and remove affected plant parts."
How do I control pests in my gourd crop?,"To control pests in gourds, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, targeting the affected areas."
Which plants should I grow to conserve soil moisture?,"To conserve soil moisture, plant bamboo, burans, or utis. These trees have deep roots and help retain water in the soil."
How do I control pests in my guava crop?,"For guava pest control, spray neem oil at 5 ml per liter of water. Apply every 10-14 days, focusing on the undersides of leaves."
How do I treat stomach worms in my animals?,"For stomach worms in animals, administer albendazole at 50 grams mixed with baking soda. Consult a veterinarian for proper dosage and administration."
Why are my small lemons falling off?,Small lemon drop can be prevented by spraying Planofix at 5 ml per liter of water during flowering. Ensure proper nutrient management.
How do I treat red ants in my potato field?,"To control red ants in potatoes, apply chlorpyrifos at 3-4 ml per liter of water around the base of plants. Use 10 grams per hectare."
When is the best time to plant roses?,"The ideal time to plant roses is October-November, during the rainy season, for optimal growth and establishment."
How do I manage pest attacks in my mango crop?,"For mango pests, spray neem oil at 5 ml per liter of water. Apply every 10-14 days, targeting the affected areas."
Why does my ginger look infested with pests?,"For ginger pests, spray neem oil at 5 ml per liter of water. Apply every 7-10 days and ensure proper soil drainage."
How do I control weeds in my paddy field?,"To control weeds in paddy, apply 2,4-D at 625 grams per hectare in 700 liters of water within 20-25 days of transplanting."
Why are my pumpkin flowers blooming but not fruiting?,"To encourage fruiting in pumpkins, spray Planofix at 0.5 ml per liter of water during flowering. Ensure proper pollination by hand if needed."
Why are my paddy leaves turning yellow?,Yellowing paddy leaves may indicate a nitrogen deficiency. Apply urea at 2% solution as a foliar spray or top-dress with 20 kg per hectare.
Why are my chilli roots rotting?,Chilli root rot can be managed by applying Planofix at 2 ml per liter of water as a soil drench. Ensure well-drained soil to prevent recurrence.
How do I control white fly tunnels in my lemon leaves?,"To control white flies in lemons, spray imidacloprid at 0.5 ml per liter of water. Apply every 10-14 days and remove affected leaves."
Why is my cucumber plant turning yellow?,Yellowing cucumber plants may be due to fungal issues. Spray copper oxychloride at 2 grams per liter of water every 7-10 days.
How do I control insects eating my ginger leaves?,"To control insects on ginger leaves, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, targeting the affected areas."
How do I manage worms in my brinjal crop?,"For worms in brinjal, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, focusing on the undersides of leaves."
How do I control pests in my turmeric crop?,"To manage pests in turmeric, spray neem oil at 5 ml per liter of water. Apply every 7-10 days and ensure proper soil drainage."
Why are my brinjal fruits being bored by insects?,"To control fruit borers in brinjal, spray neem oil at 5 ml per liter of water. Apply every 7-10 days and remove affected fruits."
How do I manage insect infestation in my bean crop?,"For bean insects, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, targeting the undersides of leaves."
How do I treat infections in my buffalo?,"For buffalo infections, wash the affected area with an antiseptic solution like Betadine and consult a veterinarian for proper treatment."
Why is my ginger turning yellow?,Yellowing ginger may indicate a fungal issue. Spray mancozeb at 2 grams per liter of water every 7-10 days. Ensure proper drainage.
How do I control termites in my radish crop?,"To control termites in radish, apply carbofuran at 20 kg per hectare during sowing or irrigation. Follow safety guidelines."
How do I manage leaf cutter insects in my onion crop?,"For onion leaf cutters, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, targeting the affected areas."
Why is my ginger crop turning yellow?,Yellowing ginger is often due to fungal infections. Spray mancozeb at 2 grams per liter of water every 7-10 days. Ensure well-drained soil.
How do I control pests in my mandua crop?,"To control pests in mandua, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, targeting the affected areas."
How do I manage pests in my ginger bushes?,"For ginger bush pests, spray chlorpyrifos at 4 liters per hectare in 1000 liters of water. Apply with irrigation for best results."
Which brinjal varieties should I grow?,"Recommended brinjal varieties include Pant Samrat, Pant Rituraj, Pant Ideal Seed for Brinjal-4, Azad Kranti, and Pusa Kranti."
Why are my mushrooms suffering from dry bubble disease?,"To manage dry bubble disease in mushrooms, use pasteurized casing soil and maintain a room temperature of 18°C with 90% humidity. Spray prochloraz manganese at 300 grams per 100 liters of water 7-9 days after casing."
How do I control ARVI infection in my crop?,"For ARVI control, spray neem oil at 5 ml per liter of water. Apply every 7-10 days and remove affected plant parts."
When is the best time to plant garlic?,The ideal time to plant garlic is mid-October for optimal bulb development.
Which turmeric varieties should I grow?,"Recommended turmeric varieties include Ko-1, Krishna, Roma, and Pant Pitabh. These are high-yielding and disease-resistant."
How much fertilizer should I apply to my mustard crop?,"For mustard, apply 90 kg nitrogen, 40 kg phosphorus, and 20 kg potassium per hectare. Incorporate at sowing and top-dress nitrogen after 30 days."
How do I manage dry rot in my pea crop?,"To control dry rot in peas, apply carbendazim at 2 grams per liter of water as a seed treatment. Rotate crops every 3-4 years to prevent recurrence."
How do I control worms in my broccoli crop?,"For worms in broccoli, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, targeting the affected areas."
Why is my amla tree not fruiting?,"To encourage fruiting in amla, ensure plant spacing is less than 10-50 meters for better pollination. Apply 5 ml NAA per liter of water as a spray."
Where can I get information on fishing?,"For fishing information, contact the District Fisheries Development Authority or your nearest Krishi Vigyan Kendra (KVK)."
What's the NPK recommendation for my potato crop?,"For potatoes, apply 140 kg nitrogen, 80 kg phosphorus, and 100 kg potassium per hectare. Incorporate at planting and top-dress nitrogen after 30 days."
Where can I get poultry training?,"For poultry training, contact the Indian Agricultural Research Institute (IARI) in Izzatnagar, Bareilly, or your nearest KVK."
How do I control insect damage in my cauliflower crop?,"To control insects in cauliflower, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, targeting the affected areas."
How do I manage red ants in my radish fields?,"For red ants in radish, apply chlorpyrifos at 3-4 ml per liter of water around the base of plants. Use 10 grams per hectare."
After how many days should I water my wheat crop?,"Water your wheat crop 21-25 days after sowing for the first irrigation, then every 30 days depending on soil moisture."
How do I treat anthracnose disease in my capsicum crop?,"To control anthracnose in capsicum, spray copper oxychloride at 0.2% solution every 10-14 days. Remove affected fruits."
How do I manage dampness disease in my cauliflower crop?,"To prevent dampness disease in cauliflower, treat the nursery with thiram at 0.25% solution before transplanting. Ensure proper drainage."
How much sulfur is present in wheat?,"Wheat contains approximately 0.125% sulfur. For sulfur deficiency, apply 25 kg sulfur per hectare as a soil amendment."
Which wheat varieties should I sow now?,"For current sowing, use wheat varieties HS-295 or HS-420. These are suitable for late planting and high-yielding."
Why are my murrel fish dying in the pond?,"For fish mortality issues, contact the Fisheries Department at Pantnagar University. Check water quality and ensure proper oxygenation."
Why are my mustard roots rotting?,Mustard root rot can be managed by applying carbendazim at 2 grams per liter of water as a soil drench. Ensure well-drained soil.
Which late wheat varieties should I grow?,Late wheat varieties include HS-295 and HS-420. These are suitable for delayed sowing and perform well in various conditions.
Why is my buffalo's pride unstoppable?,"For buffalo reproductive issues, consult a veterinarian. They may recommend hormonal treatments like Lusex tablets during the heat period."
Where can I get a loan for my guava crop?,"For a guava crop loan, contact the SBI Agricultural Development Branch (ADB) in your area. They can guide you through the process."
How much urea should I apply to my wheat crop?,Apply urea at 100 kg per hectare in two splits: 50 kg at sowing and 50 kg as a top dressing after 30-40 days.
How do I control insects biting my brinjal plants and fruits?,"For brinjal insects, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, targeting the affected areas."
What's the winter feed arrangement for fish?,"In winter, feed fish 20 kg of peanut or soybean concentrate per pond to maintain growth. Ensure water quality is monitored."
How do I control weeds in my cabbage crop?,Control cabbage weeds through manual weeding. Remove weeds by hand to avoid competition with the crop.
How do I treat black spot problems in my cabbage crop?,"For black spots in cabbage, spray rogor (dimethoate) at 2 grams per liter of water every 7-10 days. Remove affected leaves."
How do I protect my mustard from ochre disease?,"To protect mustard from ochre disease, spray mancozeb 75 WP at 2000 grams per hectare in 500 liters of water. Apply at the first sign of disease."
Why is my wheat crop getting brown spots?,Brown spots in wheat may be due to fungal infections. Spray zinc sulphate at 5 kg and lime at 25 kg in 1000 liters of water per hectare.
How do I control weeds in my pea crop?,Control pea weeds through manual weeding. Remove weeds by hand to ensure healthy crop growth.
How do I control pests in my pigeon pea crop?,"For pigeon pea pests, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, targeting the affected areas."
Why are there small brown spots on my mushroom caps?,"To manage brown spots on mushroom caps, spray prochloraz manganese at 300 grams per 100 liters of water after casing. Maintain proper humidity."
Why are there boxes in my potato leaves?,Box-like patterns in potato leaves may indicate fungal issues. Spray mancozeb at 2 grams per liter of water every 7-10 days.
Why is there white powder on my pea leaves and pods?,White powder on pea leaves indicates powdery mildew. Spray sulfex at 2 grams per liter of water every 10-14 days.
Why is my gram crop turning yellow?,Yellowing gram may be due to fungal issues. Spray carbendazim at 2 grams per liter of water every 7-10 days.
How do I control pests in my brinjal crop?,"For brinjal pests, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, targeting the affected areas."
How do I treat disease in my pigeon pea crop?,"For pigeon pea diseases, spray carbendazim at 2 grams per liter of water every 7-10 days. Remove affected plant parts."
Why are my pomegranate flowers falling?,Pomegranate flower drop can be prevented by spraying Planofix at 0.5 ml per liter of water during flowering.
Why are my mango flowers turning black?,Blackening mango flowers may be due to fungal issues. Spray copper oxychloride at 3 grams per liter of water every 10-14 days.
Why is my Malta crop wilting?,Wilting in Malta can be prevented by spraying Planofix at 5 ml per liter of water. Ensure proper irrigation and nutrient management.
Why are my orange fruits falling?,Orange fruit drop can be managed by spraying Planofix at 5 ml per 10 liters of water during flowering and fruit set.
How do I manage white rust in my crop?,"To control white rust, spray mancozeb 75 WP at 2000 ml per hectare in 500 liters of water. Apply at the first sign of disease."
What should I add to wheat in bio-farming?,"In bio-farming, apply acetobacter at 7 kg per hectare mixed with 150 kg farmyard manure to enhance wheat growth."
Why is my cabbage not growing well?,"For poor cabbage growth, apply urea at 2 grams per liter of water as a foliar spray. Ensure balanced fertilization and proper watering."
How do I collect mushroom seeds?,"For mushroom spawn, contact the Krishi Vigyan Kendra (KVK) at GB Pant University, Pantnagar. They can provide quality spawn and guidance."
Where can I get fish fingerlings?,"For fish fingerlings, contact the Fisheries Department in your district or GB Pant University, Pantnagar."
Where can I get fruit plant seedlings?,"For fruit plant seedlings, contact the District Horticulture Office (DHO) or GB Pant University, Pantnagar."
Why are there black spots on my mushrooms?,Black spots on mushrooms can be treated by spraying carbendazim at 25 grams per liter of water. Maintain proper hygiene in the growing area.
Where can I learn about pig farming?,"For pig farming information, contact the Indian Veterinary Research Institute (IVRI) in Bareilly or your nearest KVK."
How do I control pests in my fish crop?,"For pest control in fish, spray chlorpyrifos at 5 ml per liter of water in the pond. Ensure proper water quality and consult a fisheries expert."
Why is my buffalo's tail affected?,"For buffalo tail issues, consult a veterinary specialist. Wash the area with an antiseptic solution and apply a prescribed cream."
How do I make vermicompost?,"For vermicompost training, contact the Krishi Vigyan Kendra (KVK) at GB Pant University, Pantnagar. They offer detailed guidance on the process."
How do I control weeds like Kuan in my wheat field?,"To control weeds like Kuan in wheat, spray clodinafop at 16 grams per 16 liters of water per hectare within 30-35 days of sowing."
How do I manage yellow rust in my wheat crop?,"For yellow rust in wheat, spray propiconazole at 125 ml per hectare in 500 liters of water. Apply at the first sign of rust."
When is the sowing season for oregano?,Oregano can be sown using varieties like NPP7915 or NPJ866. Sow in spring or early summer for best results.
What do I need for litchi leaf wrap?,"To manage litchi leaf wrap, spray akalex at 2 ml per liter of water. Apply every 10-14 days and remove affected leaves."
Which litchi varieties should I grow?,"Recommended litchi varieties include Rose Scented, Dehradun, Calcutta, China, and Bedana. These are high-yielding and flavorful."
Why are my potatoes turning yellow?,Yellowing potatoes may be due to fungal issues. Spray mancozeb at 2 grams per liter of water every 7-10 days.
How do I control moths in my pumpkin crop?,"To control moths in pumpkins, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, targeting the affected areas."
When is the sowing season for sugarcane?,Sow sugarcane between March and April for optimal growth and yield.
How do I control insect infestation in my gladiolus crop?,"For gladiolus insects, spray imidacloprid at 5 ml per liter of water. Apply every 10-14 days and monitor pest activity."
Where can I find a peach tree?,"For peach tree saplings, contact your District Horticulture Office (DHO) or a local nursery."
How do I get to a walnut garden nursery?,"For walnut garden nursery information, contact your District Horticulture Office (DHO) or GB Pant University, Pantnagar."
When is the planting season for citrus?,Plant citrus fruits in July-September for optimal establishment and growth.
How do I control insect infestation in my coriander crop?,"For coriander insects, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, targeting the undersides of leaves."
